config,section,n_claims,supported,unsupported_but_true,unsupported_and_false,faithfulness
full_rag,attack_mechanism,567,447,115,5,0.7883597883597884
full_rag,confidence_notes,292,229,57,6,0.7842465753424658
full_rag,immediate_actions,687,585,99,3,0.851528384279476
full_rag,longer_term_remediation,570,379,190,1,0.6649122807017543
full_rag,observable_indicators,903,848,11,44,0.9390919158361019
full_rag,threat_assessment,599,450,144,5,0.7512520868113522
naive_rag,attack_mechanism,590,461,125,4,0.7813559322033898
naive_rag,confidence_notes,272,190,75,7,0.6985294117647058
naive_rag,immediate_actions,587,495,92,0,0.8432708688245315
naive_rag,longer_term_remediation,580,420,160,0,0.7241379310344828
naive_rag,observable_indicators,860,845,6,9,0.9825581395348837
naive_rag,threat_assessment,581,438,136,7,0.7538726333907056
no_rag,attack_mechanism,567,117,446,4,0.20634920634920634
no_rag,confidence_notes,265,179,86,0,0.6754716981132075
no_rag,immediate_actions,537,5,532,0,0.00931098696461825
no_rag,longer_term_remediation,499,0,499,0,0.0
no_rag,observable_indicators,914,893,0,21,0.9770240700218819
no_rag,threat_assessment,581,226,351,4,0.3889845094664372
self_check,attack_mechanism,587,473,108,6,0.8057921635434412
self_check,confidence_notes,298,225,64,9,0.7550335570469798
self_check,immediate_actions,680,548,132,0,0.8058823529411765
self_check,longer_term_remediation,548,396,152,0,0.7226277372262774
self_check,observable_indicators,931,880,11,40,0.9452201933404941
self_check,threat_assessment,597,447,146,4,0.7487437185929648
