case_id,config,register,gate1_register_mapping,gate2_hedged_disclosures,gate3_no_ordering_language,gate4_probability_consistency,passed,needs_review
assertive_correct-10000,full_rag,assertive,True,True,True,True,True,False
assertive_correct-10000,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-10000,no_rag,assertive,True,True,True,True,True,False
assertive_correct-10000,self_check,assertive,True,True,True,True,True,False
assertive_correct-115007,full_rag,assertive,True,True,True,True,True,False
assertive_correct-115007,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-115007,no_rag,assertive,True,True,True,True,True,False
assertive_correct-115007,self_check,assertive,True,True,True,True,True,False
assertive_correct-120019,full_rag,assertive,True,True,True,True,True,False
assertive_correct-120019,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-120019,no_rag,assertive,True,True,True,True,True,False
assertive_correct-120019,self_check,assertive,True,True,True,True,True,False
assertive_correct-125012,full_rag,assertive,True,True,True,True,True,False
assertive_correct-125012,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-125012,no_rag,assertive,True,True,True,True,True,False
assertive_correct-125012,self_check,assertive,True,True,True,True,True,False
assertive_correct-145003,full_rag,assertive,True,True,True,True,True,False
assertive_correct-145003,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-145003,no_rag,assertive,True,True,True,True,True,False
assertive_correct-145003,self_check,assertive,True,True,True,True,True,False
assertive_correct-150000,full_rag,assertive,True,True,True,True,True,False
assertive_correct-150000,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-150000,no_rag,assertive,True,True,True,True,True,False
assertive_correct-150000,self_check,assertive,True,True,True,True,True,False
assertive_correct-15005,full_rag,assertive,True,True,True,True,True,False
assertive_correct-15005,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-15005,no_rag,assertive,True,True,True,True,True,False
assertive_correct-15005,self_check,assertive,True,True,True,True,True,False
assertive_correct-155013,full_rag,assertive,True,True,True,True,True,False
assertive_correct-155013,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-155013,no_rag,assertive,True,True,True,True,True,False
assertive_correct-155013,self_check,assertive,True,True,True,True,True,False
assertive_correct-160003,full_rag,assertive,True,True,True,True,True,False
assertive_correct-160003,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-160003,no_rag,assertive,True,True,True,True,True,False
assertive_correct-160003,self_check,assertive,True,True,True,True,True,False
assertive_correct-165000,full_rag,assertive,True,True,True,True,True,False
assertive_correct-165000,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-165000,no_rag,assertive,True,True,True,True,True,False
assertive_correct-165000,self_check,assertive,True,True,True,True,True,False
assertive_correct-170008,full_rag,assertive,True,True,True,True,True,False
assertive_correct-170008,naive_rag,assertive,True,True,True,True,True,False
assertive_correct-170008,no_rag,assertive,True,True,True,True,True,False
assertive_correct-170008,self_check,assertive,True,True,True,True,True,False
assertive_correct-175000,full_rag,assertive,True,True,True,True,True,False
