kind,case_id,claim_index,judge_label,factual_accuracy,actionability_device_specific,actionability_phases_separated,actionability_matches_category
report,assertive_correct-125012,,,4,1,1,1
claim,assertive_correct-125012,0,supported,,,,
claim,assertive_correct-125012,1,supported,,,,
claim,assertive_correct-125012,2,supported,,,,
claim,assertive_correct-125012,3,unsupported_and_false,,,,
claim,assertive_correct-125012,4,unsupported_but_true,,,,
claim,assertive_correct-125012,5,supported,,,,
claim,assertive_correct-125012,6,supported,,,,
claim,assertive_correct-125012,7,unsupported_but_true,,,,
claim,assertive_correct-125012,8,unsupported_but_true,,,,
claim,assertive_correct-125012,9,supported,,,,
claim,assertive_correct-125012,10,supported,,,,
claim,assertive_correct-125012,11,supported,,,,
claim,assertive_correct-125012,12,supported,,,,
claim,assertive_correct-125012,13,supported,,,,
claim,assertive_correct-125012,14,supported,,,,
claim,assertive_correct-125012,15,unsupported_but_true,,,,
claim,assertive_correct-125012,16,unsupported_but_true,,,,
claim,assertive_correct-125012,17,unsupported_but_true,,,,
claim,assertive_correct-125012,18,unsupported_but_true,,,,
claim,assertive_correct-125012,19,unsupported_but_true,,,,
claim,assertive_correct-125012,20,unsupported_but_true,,,,
claim,assertive_correct-125012,21,unsupported_but_true,,,,
claim,assertive_correct-125012,22,supported,,,,
claim,assertive_correct-125012,23,unsupported_but_true,,,,
claim,assertive_correct-125012,24,unsupported_but_true,,,,
claim,assertive_correct-125012,25,supported,,,,
claim,assertive_correct-125012,26,unsupported_but_true,,,,
report,assertive_correct-145003,,,4,1,1,1
claim,assertive_correct-145003,0,supported,,,,
claim,assertive_correct-145003,1,supported,,,,
claim,assertive_correct-145003,2,unsupported_but_true,,,,
claim,assertive_correct-145003,3,unsupported_but_true,,,,
claim,assertive_correct-145003,4,supported,,,,
claim,assertive_correct-145003,5,supported,,,,
claim,assertive_correct-145003,6,supported,,,,
claim,assertive_correct-145003,7,unsupported_but_true,,,,
claim,assertive_correct-145003,8,unsupported_but_true,,,,
claim,assertive_correct-145003,9,supported,,,,
claim,assertive_correct-145003,10,unsupported_but_true,,,,
claim,assertive_correct-145003,11,unsupported_but_true,,,,
claim,assertive_correct-145003,12,supported,,,,
claim,assertive_correct-145003,13,supported,,,,
claim,assertive_correct-145003,14,unsupported_but_true,,,,
claim,assertive_correct-145003,15,unsupported_but_true,,,,
claim,assertive_correct-145003,16,unsupported_but_true,,,,
claim,assertive_correct-145003,17,unsupported_and_false,,,,
claim,assertive_correct-145003,18,supported,,,,
claim,assertive_correct-145003,19,unsupported_but_true,,,,
claim,assertive_correct-145003,20,unsupported_but_true,,,,
claim,assertive_correct-145003,21,unsupported_but_true,,,,
claim,assertive_correct-145003,22,unsupported_but_true,,,,
claim,assertive_correct-145003,23,supported,,,,
claim,assertive_correct-145003,24,unsupported_but_true,,,,
report,assertive_correct-175000,,,2,1,1,1
claim,assertive_correct-175000,0,supported,,,,
claim,assertive_correct-175000,1,supported,,,,
claim,assertive_correct-175000,2,supported,,,,
claim,assertive_correct-175000,3,unsupported_but_true,,,,
claim,assertive_correct-175000,4,unsupported_but_true,,,,
claim,assertive_correct-175000,5,supported,,,,
claim,assertive_correct-175000,6,supported,,,,
claim,assertive_correct-175000,7,supported,,,,
claim,assertive_correct-175000,8,supported,,,,
claim,assertive_correct-175000,9,supported,,,,
claim,assertive_correct-175000,10,supported,,,,
claim,assertive_correct-175000,11,supported,,,,
claim,assertive_correct-175000,12,supported,,,,
claim,assertive_correct-175000,13,supported,,,,
claim,assertive_correct-175000,14,supported,,,,
claim,assertive_correct-175000,15,supported,,,,
claim,assertive_correct-175000,16,supported,,,,
claim,assertive_correct-175000,17,supported,,,,
claim,assertive_correct-175000,18,unsupported_but_true,,,,
claim,assertive_correct-175000,19,supported,,,,
claim,assertive_correct-175000,20,supported,,,,
claim,assertive_correct-175000,21,supported,,,,
claim,assertive_correct-175000,22,supported,,,,
claim,assertive_correct-175000,23,supported,,,,
claim,assertive_correct-175000,24,supported,,,,
claim,assertive_correct-175000,25,supported,,,,
claim,assertive_correct-175000,26,supported,,,,
claim,assertive_correct-175000,27,supported,,,,
report,assertive_correct-275000,,,5,1,1,1
claim,assertive_correct-275000,0,supported,,,,
claim,assertive_correct-275000,1,supported,,,,
claim,assertive_correct-275000,2,supported,,,,
claim,assertive_correct-275000,3,unsupported_but_true,,,,
claim,assertive_correct-275000,4,supported,,,,
claim,assertive_correct-275000,5,supported,,,,
claim,assertive_correct-275000,6,supported,,,,
claim,assertive_correct-275000,7,supported,,,,
claim,assertive_correct-275000,8,supported,,,,
claim,assertive_correct-275000,9,unsupported_but_true,,,,
claim,assertive_correct-275000,10,supported,,,,
claim,assertive_correct-275000,11,supported,,,,
claim,assertive_correct-275000,12,supported,,,,
claim,assertive_correct-275000,13,supported,,,,
claim,assertive_correct-275000,14,supported,,,,
claim,assertive_correct-275000,15,supported,,,,
claim,assertive_correct-275000,16,supported,,,,
claim,assertive_correct-275000,17,supported,,,,
claim,assertive_correct-275000,18,supported,,,,
claim,assertive_correct-275000,19,unsupported_but_true,,,,
claim,assertive_correct-275000,20,unsupported_but_true,,,,
claim,assertive_correct-275000,21,unsupported_but_true,,,,
claim,assertive_correct-275000,22,unsupported_but_true,,,,
claim,assertive_correct-275000,23,unsupported_but_true,,,,
report,assertive_correct-285001,,,4,1,1,1
claim,assertive_correct-285001,0,supported,,,,
claim,assertive_correct-285001,1,supported,,,,
claim,assertive_correct-285001,2,supported,,,,
claim,assertive_correct-285001,3,supported,,,,
claim,assertive_correct-285001,4,unsupported_but_true,,,,
claim,assertive_correct-285001,5,supported,,,,
claim,assertive_correct-285001,6,supported,,,,
claim,assertive_correct-285001,7,unsupported_but_true,,,,
claim,assertive_correct-285001,8,unsupported_but_true,,,,
claim,assertive_correct-285001,9,supported,,,,
claim,assertive_correct-285001,10,supported,,,,
claim,assertive_correct-285001,11,supported,,,,
claim,assertive_correct-285001,12,supported,,,,
claim,assertive_correct-285001,13,supported,,,,
claim,assertive_correct-285001,14,supported,,,,
claim,assertive_correct-285001,15,unsupported_but_true,,,,
claim,assertive_correct-285001,16,supported,,,,
claim,assertive_correct-285001,17,supported,,,,
claim,assertive_correct-285001,18,supported,,,,
claim,assertive_correct-285001,19,supported,,,,
claim,assertive_correct-285001,20,unsupported_but_true,,,,
claim,assertive_correct-285001,21,supported,,,,
claim,assertive_correct-285001,22,supported,,,,
claim,assertive_correct-285001,23,supported,,,,
claim,assertive_correct-285001,24,supported,,,,
claim,assertive_correct-285001,25,supported,,,,
report,assertive_correct-90002,,,5,1,1,1
claim,assertive_correct-90002,0,supported,,,,
claim,assertive_correct-90002,1,supported,,,,
claim,assertive_correct-90002,2,unsupported_but_true,,,,
claim,assertive_correct-90002,3,supported,,,,
claim,assertive_correct-90002,4,supported,,,,
claim,assertive_correct-90002,5,supported,,,,
claim,assertive_correct-90002,6,supported,,,,
claim,assertive_correct-90002,7,supported,,,,
claim,assertive_correct-90002,8,supported,,,,
claim,assertive_correct-90002,9,supported,,,,
claim,assertive_correct-90002,10,supported,,,,
claim,assertive_correct-90002,11,supported,,,,
claim,assertive_correct-90002,12,supported,,,,
claim,assertive_correct-90002,13,supported,,,,
claim,assertive_correct-90002,14,supported,,,,
claim,assertive_correct-90002,15,supported,,,,
claim,assertive_correct-90002,16,supported,,,,
claim,assertive_correct-90002,17,unsupported_but_true,,,,
claim,assertive_correct-90002,18,unsupported_but_true,,,,
claim,assertive_correct-90002,19,unsupported_but_true,,,,
claim,assertive_correct-90002,20,supported,,,,
claim,assertive_correct-90002,21,unsupported_but_true,,,,
report,assertive_error-317103,,,4,1,1,1
claim,assertive_error-317103,0,supported,,,,
claim,assertive_error-317103,1,unsupported_but_true,,,,
claim,assertive_error-317103,2,unsupported_but_true,,,,
claim,assertive_error-317103,3,unsupported_but_true,,,,
claim,assertive_error-317103,4,supported,,,,
claim,assertive_error-317103,5,unsupported_but_true,,,,
claim,assertive_error-317103,6,unsupported_but_true,,,,
claim,assertive_error-317103,7,supported,,,,
claim,assertive_error-317103,8,unsupported_and_false,,,,
claim,assertive_error-317103,9,supported,,,,
claim,assertive_error-317103,10,supported,,,,
claim,assertive_error-317103,11,supported,,,,
